Date,Sleep Score,Sleep Length,Weight (kg),Body Fat %,Blood Pressure Systolic,Blood Pressure Diastolic,Active Calories,Resting Calories,Resting Heart Rate,Average Stress,Training Status,VO2 Max Running,VO2 Max Cycling,Intensity Minutes,All Activity Count,Running Activity Count,Running Distance (km),Cycling Activity Count,Cycling Distance (km),Strength Activity Count,Strength Duration,Cardio Activity Count,Cardio Duration
2025-04-01,83.0,7.08,,,,,1048.0,1982.0,47.0,24.0,PRODUCTIVE_1,47.0,49.0,147.0,3.0,1.0,5.13,0.0,0.0,1.0,29.38,0.0,0.0
2025-04-02,88.0,7.38,,,,,612.0,1982.0,46.0,24.0,PRODUCTIVE_1,47.0,49.0,82.0,2.0,1.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03,84.0,6.97,,,,,187.0,1982.0,45.0,24.0,PRODUCTIVE_1,47.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-04,80.0,6.93,,,,,650.0,1982.0,49.0,30.0,PRODUCTIVE_1,47.0,49.0,79.0,2.0,1.0,4.96,0.0,0.0,1.0,20.84,0.0,0.0
2025-04-05,84.0,7.1,0.08,15.9,,,663.0,1978.0,46.0,28.0,PRODUCTIVE_1,47.0,49.0,61.0,2.0,0.0,0.0,2.0,15.57,0.0,0.0,0.0,0.0
2025-04-06,88.0,7.18,,,,,896.0,1978.0,45.0,23.0,PRODUCTIVE_1,47.0,49.0,131.0,2.0,0.0,0.0,1.0,18.92,0.0,0.0,0.0,0.0
2025-04-07,82.0,6.93,,,,,219.0,1978.0,45.0,21.0,PRODUCTIVE_1,47.0,49.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-08,80.0,6.68,,,,,308.0,1978.0,47.0,24.0,MAINTAINING_1,47.0,49.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,25.75,0.0,0.0
2025-04-09,84.0,6.98,,,,,239.0,1978.0,44.0,26.0,MAINTAINING_1,47.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-10,79.0,6.78,,,,,531.0,1978.0,47.0,24.0,MAINTAINING_2,46.0,49.0,65.0,1.0,1.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-11,78.0,6.53,,,,,504.0,1978.0,47.0,35.0,MAINTAINING_2,46.0,49.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,27.37,0.0,0.0
2025-04-12,83.0,6.88,0.08,16.2,,,622.0,1986.0,45.0,27.0,MAINTAINING_2,46.0,49.0,65.0,1.0,0.0,0.0,1.0,16.86,0.0,0.0,0.0,0.0
2025-04-13,83.0,8.02,,,,,593.0,1986.0,45.0,23.0,MAINTAINING_2,46.0,49.0,83.0,2.0,0.0,0.0,1.0,11.62,0.0,0.0,0.0,0.0
